Medicine_ID,Medicine_Name,Main_Ingredients,Used_For,Dosage,Form,Manufacturer,Price,Availability_Status,Expiry_Date,Side_Effects,Approval_Status
AYUR14332,Guduchi-Picture,"Shatavari, Tulsi, Ashwagandha",Acidity,5 ml twice daily,Powder,Divya Herbal,347.23,Out of Stock,2026-01-06,Allergic Reaction,Approved
AYUR01094,Shatavari-Family,"Ashwagandha, Triphala, Neem",Acidity,5 ml twice daily,Powder,VedicLife Pharma,345.32,In Stock,2029-04-13,Headache,Approved
AYUR15294,Brahmi-Opportunity,"Guggul, Ashwagandha, Licorice",Acidity,2 capsules once daily,Syrup,Swasthya Remedies,367.83,Out of Stock,2028-07-16,Allergic Reaction,Approved
AYUR07306,Arjuna-Writer,"Brahmi, Tulsi",Acidity,1 spoon after meal,Syrup,HerbalCure Labs,342.02,Out of Stock,2027-06-06,Allergic Reaction,Approved
AYUR05871,Tulsi-His,"Arjuna, Giloy",Acidity,1 tablet twice daily,Syrup,OrganicVeda,307.71,In Stock,2028-07-05,Nausea,Under Review
AYUR15540,Turmeric-College,"Guduchi, Tulsi, Ashwagandha",Acidity,1 spoon after meal,Oil,Divya Herbal,118.26,In Stock,2026-04-11,None,Under Review
AYUR15200,Triphala-Another,"Shatavari, Neem, Turmeric, Amla",Acidity,Apply externally once a day,Tablet,AyurHealth Ltd.,71.26,In Stock,2028-01-10,None,Under Review
AYUR17343,Tulsi-Create,"Neem, Brahmi, Amla, Triphala",Acidity,5 ml twice daily,Powder,Divya Herbal,263.62,In Stock,2027-05-19,Nausea,Under Review
AYUR17053,Guggul-Couple,"Pippali, Guduchi, Licorice, Neem",Acidity,5 ml twice daily,Tablet,HerbalCure Labs,131.37,In Stock,2028-12-09,Drowsiness,Approved
AYUR12462,Tulsi-Billion,"Brahmi, Turmeric",Acidity,5 ml twice daily,Capsule,Swasthya Remedies,426.32,In Stock,2026-01-30,Allergic Reaction,Approved
AYUR09936,Shatavari-Commercial,"Pippali, Shatavari, Triphala",Acidity,1 tablet twice daily,Syrup,Swasthya Remedies,432.54,In Stock,2029-12-03,None,Approved
AYUR01020,Giloy-Do,"Arjuna, Neem",Acidity,1 tablet twice daily,Tablet,NatureRoot Medics,299.3,In Stock,2027-12-03,Drowsiness,Under Review
AYUR02556,Amla-Fact,"Guggul, Giloy, Turmeric, Ashwagandha",Acidity,Apply externally once a day,Powder,HerbalCure Labs,454.63,In Stock,2029-07-07,None,Under Review
AYUR15429,Arjuna-The,"Tulsi, Pippali, Guduchi",Acidity,5 ml twice daily,Syrup,Divya Herbal,232.93,Out of Stock,2026-08-08,Nausea,Under Review
AYUR17352,Ashwagandha-Role,"Triphala, Guduchi",Acidity,2 capsules once daily,Syrup,VedicLife Pharma,441.29,Out of Stock,2026-01-11,None,Under Review
AYUR01393,Tulsi-Bad,"Ashwagandha, Tulsi, Triphala",Acidity,5 ml twice daily,Powder,Divya Herbal,356.09,Out of Stock,2027-01-13,Allergic Reaction,Approved
AYUR11625,Neem-Scientist,"Brahmi, Guggul, Giloy, Tulsi",Acidity,1 spoon after meal,Oil,NatureRoot Medics,482.36,In Stock,2029-03-03,Drowsiness,Approved
AYUR12935,Triphala-Wear,"Amla, Guduchi, Brahmi",Acidity,1 tablet twice daily,Oil,Divya Herbal,428.26,Out of Stock,2028-02-04,Nausea,Under Review
AYUR09591,Turmeric-Forget,"Amla, Neem, Pippali",Acidity,2 capsules once daily,Oil,Ayurveda Bliss,157.78,Out of Stock,2029-06-13,Drowsiness,Under Review
AYUR05427,Guduchi-Political,"Guduchi, Triphala, Giloy, Neem",Acidity,Apply externally once a day,Tablet,Divya Herbal,480.01,Out of Stock,2026-05-21,Drowsiness,Under Review
AYUR03965,Giloy-Call,"Tulsi, Licorice, Arjuna, Shatavari",Acidity,1 spoon after meal,Powder,Divya Herbal,341.35,Out of Stock,2026-06-30,Drowsiness,Under Review
AYUR01972,Pippali-Season,"Ashwagandha, Arjuna",Acidity,5 ml twice daily,Syrup,Ayurveda Bliss,423.06,Out of Stock,2027-08-25,Nausea,Approved
AYUR05012,Turmeric-Become,"Neem, Guduchi",Acidity,1 spoon after meal,Syrup,VedicLife Pharma,218.52,In Stock,2029-12-03,Headache,Approved
AYUR14897,Brahmi-Support,"Brahmi, Arjuna",Acidity,Apply externally once a day,Capsule,Divya Herbal,409.4,In Stock,2029-07-24,Drowsiness,Under Review
AYUR16662,Guggul-Player,"Triphala, Guggul, Giloy",Acidity,2 capsules once daily,Tablet,AyurHealth Ltd.,168.42,In Stock,2026-10-26,Headache,Approved
AYUR19462,Triphala-Only,"Pippali, Guduchi",Acidity,5 ml twice daily,Tablet,HerbalCure Labs,70.61,Out of Stock,2026-07-05,Allergic Reaction,Under Review
AYUR16175,Neem-Start,"Shatavari, Ashwagandha, Guggul, Triphala",Acidity,2 capsules once daily,Capsule,Divya Herbal,206.59,In Stock,2027-01-09,None,Approved
AYUR07319,Brahmi-Race,"Giloy, Licorice",Acidity,2 capsules once daily,Oil,Ayurveda Bliss,287.76,In Stock,2030-04-29,Allergic Reaction,Approved
AYUR10932,Amla-Form,"Brahmi, Tulsi",Acidity,Apply externally once a day,Powder,Ayurveda Bliss,162.42,In Stock,2027-09-08,Headache,Under Review
AYUR16774,Triphala-Appear,"Ashwagandha, Guggul, Shatavari, Amla",Acidity,2 capsules once daily,Syrup,Divya Herbal,469.45,Out of Stock,2030-05-23,Drowsiness,Under Review
AYUR03536,Shatavari-Trial,"Licorice, Giloy, Tulsi",Acidity,2 capsules once daily,Tablet,NatureRoot Medics,90.66,Out of Stock,2030-02-26,Drowsiness,Approved
AYUR08875,Neem-Across,"Neem, Shatavari, Giloy",Acidity,5 ml twice daily,Tablet,HerbalCure Labs,392.45,In Stock,2026-05-19,Allergic Reaction,Approved
AYUR08998,Licorice-Policy,"Neem, Triphala, Brahmi, Guduchi",Acidity,Apply externally once a day,Powder,OrganicVeda,104.83,In Stock,2026-04-19,None,Under Review
AYUR02802,Shatavari-Now,"Tulsi, Turmeric, Guggul, Ashwagandha",Acidity,2 capsules once daily,Powder,HerbalCure Labs,277.67,Out of Stock,2029-01-26,Nausea,Approved
AYUR15774,Shatavari-Perhaps,"Pippali, Arjuna, Turmeric, Guduchi",Acidity,1 tablet twice daily,Powder,VedicLife Pharma,173.24,In Stock,2027-07-06,Drowsiness,Approved
AYUR12375,Turmeric-Parent,"Brahmi, Amla, Neem, Giloy",Acidity,5 ml twice daily,Tablet,Divya Herbal,449.31,Out of Stock,2026-02-22,Allergic Reaction,Approved
AYUR10440,Triphala-Office,"Turmeric, Brahmi, Arjuna, Neem",Acidity,1 spoon after meal,Oil,Ayurveda Bliss,433.73,Out of Stock,2029-11-13,Allergic Reaction,Approved
AYUR17605,Guduchi-Think,"Amla, Guduchi, Triphala",Acidity,1 tablet twice daily,Capsule,Swasthya Remedies,188.62,In Stock,2026-12-07,Drowsiness,Under Review
AYUR08535,Triphala-Better,"Licorice, Giloy, Brahmi, Arjuna",Acidity,2 capsules once daily,Capsule,VedicLife Pharma,413.35,In Stock,2028-04-22,Drowsiness,Under Review
AYUR08990,Guduchi-Network,"Tulsi, Guggul, Pippali",Acidity,Apply externally once a day,Capsule,VedicLife Pharma,482.76,Out of Stock,2027-09-10,Headache,Approved
AYUR15393,Ashwagandha-Health,"Pippali, Guggul",Acidity,Apply externally once a day,Powder,OrganicVeda,67.76,Out of Stock,2028-06-05,Allergic Reaction,Under Review
AYUR15131,Pippali-Feel,"Brahmi, Guggul, Pippali, Tulsi",Acidity,1 spoon after meal,Tablet,VedicLife Pharma,235.95,Out of Stock,2030-02-28,None,Approved
AYUR05522,Brahmi-Character,"Guduchi, Arjuna, Licorice, Shatavari",Acidity,Apply externally once a day,Powder,Swasthya Remedies,57.52,Out of Stock,2030-02-26,None,Under Review
AYUR19687,Brahmi-Relationship,"Neem, Pippali, Arjuna",Acidity,5 ml twice daily,Tablet,Divya Herbal,100.73,Out of Stock,2026-03-20,Drowsiness,Approved
AYUR16747,Licorice-Heavy,"Guduchi, Guggul, Tulsi",Acidity,5 ml twice daily,Capsule,Ayurveda Bliss,434.02,In Stock,2030-04-22,Drowsiness,Under Review
AYUR12501,Guggul-Condition,"Guggul, Giloy, Arjuna",Acidity,2 capsules once daily,Tablet,AyurHealth Ltd.,186.19,Out of Stock,2027-10-05,Allergic Reaction,Approved
AYUR08876,Licorice-Follow,"Neem, Arjuna",Acidity,1 tablet twice daily,Capsule,AyurHealth Ltd.,74.05,Out of Stock,2028-04-30,Drowsiness,Approved
AYUR18610,Pippali-Data,"Ashwagandha, Pippali",Acidity,1 spoon after meal,Powder,Divya Herbal,307.66,In Stock,2028-09-09,Drowsiness,Under Review
AYUR09315,Licorice-Beat,"Amla, Arjuna",Acidity,5 ml twice daily,Syrup,Swasthya Remedies,72.88,In Stock,2027-03-22,Drowsiness,Approved
AYUR03718,Amla-Kid,"Guduchi, Guggul, Arjuna, Tulsi",Acidity,1 spoon after meal,Powder,OrganicVeda,175.14,Out of Stock,2028-04-26,Headache,Under Review
AYUR00738,Triphala-Argue,"Pippali, Ashwagandha, Amla",Acidity,Apply externally once a day,Powder,Ayurveda Bliss,181.05,Out of Stock,2028-07-02,None,Approved
AYUR16855,Tulsi-A,"Arjuna, Pippali, Giloy, Brahmi",Acidity,2 capsules once daily,Oil,VedicLife Pharma,112.1,In Stock,2028-02-09,Headache,Approved
AYUR11366,Ashwagandha-Commercial,"Turmeric, Triphala, Neem",Acidity,1 spoon after meal,Oil,OrganicVeda,499.97,In Stock,2030-06-16,Allergic Reaction,Under Review
AYUR13964,Giloy-Arrive,"Giloy, Neem, Pippali, Triphala",Acidity,2 capsules once daily,Oil,Ayurveda Bliss,285.47,Out of Stock,2028-09-17,Nausea,Under Review
AYUR17072,Ashwagandha-Question,"Tulsi, Brahmi, Triphala",Acidity,1 spoon after meal,Oil,Divya Herbal,232.4,In Stock,2028-01-05,Allergic Reaction,Under Review
AYUR07150,Guduchi-Himself,"Ashwagandha, Guduchi, Pippali",Acidity,2 capsules once daily,Oil,HerbalCure Labs,322.29,Out of Stock,2026-09-25,Drowsiness,Approved
AYUR07912,Neem-Thousand,"Guduchi, Brahmi, Tulsi, Guggul",Acidity,1 tablet twice daily,Capsule,Ayurveda Bliss,333.04,In Stock,2026-11-03,Drowsiness,Approved
AYUR13097,Licorice-Administration,"Pippali, Shatavari, Triphala",Acidity,1 tablet twice daily,Syrup,Divya Herbal,54.5,Out of Stock,2026-10-20,Nausea,Approved
AYUR12057,Amla-Score,"Ashwagandha, Neem",Acidity,5 ml twice daily,Capsule,Divya Herbal,306.91,Out of Stock,2030-04-26,Drowsiness,Approved
AYUR17384,Amla-Somebody,"Giloy, Arjuna, Guduchi",Acidity,1 spoon after meal,Syrup,HerbalCure Labs,365.09,Out of Stock,2027-08-09,Headache,Approved
AYUR06854,Neem-Pressure,"Licorice, Turmeric",Acidity,2 capsules once daily,Capsule,OrganicVeda,461.33,In Stock,2030-01-23,Headache,Approved
AYUR09241,Pippali-Board,"Brahmi, Triphala, Arjuna",Acidity,2 capsules once daily,Syrup,VedicLife Pharma,398.51,Out of Stock,2028-08-18,Drowsiness,Approved
AYUR03551,Arjuna-Eat,"Giloy, Ashwagandha, Neem",Acidity,Apply externally once a day,Syrup,OrganicVeda,138.08,Out of Stock,2026-05-31,Nausea,Under Review
AYUR05172,Pippali-Old,"Triphala, Turmeric, Pippali, Amla",Acidity,2 capsules once daily,Capsule,Ayurveda Bliss,414.16,In Stock,2027-06-10,None,Approved
AYUR01476,Tulsi-Example,"Giloy, Guduchi, Pippali, Turmeric",Acidity,Apply externally once a day,Powder,Ayurveda Bliss,260.51,In Stock,2029-05-06,None,Under Review
AYUR03840,Pippali-Hospital,"Ashwagandha, Licorice, Triphala, Pippali",Acidity,1 tablet twice daily,Tablet,OrganicVeda,271.5,Out of Stock,2029-09-28,None,Approved
AYUR10257,Guduchi-Have,"Amla, Ashwagandha, Shatavari, Giloy",Acidity,Apply externally once a day,Tablet,VedicLife Pharma,485.54,Out of Stock,2028-08-03,Drowsiness,Under Review
AYUR15024,Amla-Support,"Amla, Neem, Arjuna, Shatavari",Acidity,5 ml twice daily,Capsule,AyurHealth Ltd.,278.09,Out of Stock,2028-08-23,Allergic Reaction,Approved
AYUR10972,Brahmi-Agency,"Shatavari, Arjuna, Guggul, Amla",Acidity,1 spoon after meal,Syrup,HerbalCure Labs,482.74,In Stock,2026-12-29,Drowsiness,Under Review
AYUR05616,Turmeric-Baby,"Triphala, Pippali",Acidity,5 ml twice daily,Oil,NatureRoot Medics,426.32,Out of Stock,2028-09-09,Drowsiness,Under Review
AYUR11157,Arjuna-Cover,"Pippali, Arjuna, Turmeric, Shatavari",Acidity,1 tablet twice daily,Oil,NatureRoot Medics,55.28,Out of Stock,2030-06-20,Drowsiness,Under Review
AYUR06953,Pippali-Where,"Tulsi, Shatavari",Acidity,5 ml twice daily,Powder,Swasthya Remedies,118.79,Out of Stock,2028-11-04,Allergic Reaction,Approved
AYUR17989,Guduchi-Receive,"Amla, Brahmi",Acidity,1 spoon after meal,Capsule,Divya Herbal,444.26,Out of Stock,2030-06-27,Nausea,Approved
AYUR09179,Pippali-Actually,"Guggul, Guduchi",Acidity,Apply externally once a day,Powder,VedicLife Pharma,386.54,Out of Stock,2026-06-25,None,Approved
AYUR12067,Arjuna-Current,"Shatavari, Tulsi, Triphala, Ashwagandha",Acidity,5 ml twice daily,Syrup,HerbalCure Labs,251.61,In Stock,2028-09-18,Headache,Under Review
AYUR03977,Guggul-Adult,"Ashwagandha, Brahmi",Acidity,1 tablet twice daily,Capsule,VedicLife Pharma,95.7,In Stock,2029-06-10,Allergic Reaction,Approved
AYUR03167,Neem-Area,"Pippali, Turmeric",Acidity,2 capsules once daily,Syrup,Swasthya Remedies,359.42,Out of Stock,2028-02-24,None,Approved
AYUR15657,Amla-Policy,"Licorice, Giloy",Acidity,1 tablet twice daily,Capsule,HerbalCure Labs,186.66,In Stock,2029-11-19,None,Under Review
AYUR11046,Triphala-Identify,"Brahmi, Ashwagandha, Amla, Guduchi",Acidity,5 ml twice daily,Capsule,HerbalCure Labs,339.28,Out of Stock,2028-05-18,Nausea,Approved
AYUR14158,Giloy-Young,"Triphala, Tulsi, Pippali",Acidity,1 spoon after meal,Capsule,Divya Herbal,177.17,In Stock,2029-04-02,Nausea,Approved
AYUR16924,Arjuna-Car,"Shatavari, Turmeric, Guggul",Acidity,Apply externally once a day,Oil,HerbalCure Labs,105.77,Out of Stock,2026-01-30,Drowsiness,Under Review
AYUR04253,Tulsi-Old,"Brahmi, Arjuna, Licorice",Acidity,Apply externally once a day,Oil,VedicLife Pharma,194.99,In Stock,2030-01-31,Allergic Reaction,Under Review
AYUR16018,Triphala-Offer,"Licorice, Triphala",Acidity,2 capsules once daily,Tablet,Divya Herbal,218.64,In Stock,2026-05-23,Drowsiness,Under Review
AYUR04818,Ashwagandha-Government,"Shatavari, Arjuna",Acidity,5 ml twice daily,Powder,HerbalCure Labs,189.55,In Stock,2029-03-19,Allergic Reaction,Under Review
AYUR04697,Giloy-Hit,"Guduchi, Giloy, Shatavari",Acidity,1 tablet twice daily,Syrup,Ayurveda Bliss,259.63,Out of Stock,2028-05-14,Drowsiness,Approved
AYUR18557,Amla-Position,"Tulsi, Turmeric, Guduchi, Giloy",Acidity,1 tablet twice daily,Oil,Ayurveda Bliss,148.96,In Stock,2028-04-09,Allergic Reaction,Under Review
AYUR04674,Amla-Experience,"Guggul, Arjuna, Giloy",Acidity,Apply externally once a day,Oil,Divya Herbal,488.92,In Stock,2030-03-08,Nausea,Approved
AYUR00288,Licorice-Born,"Arjuna, Ashwagandha, Shatavari, Tulsi",Acidity,1 spoon after meal,Tablet,VedicLife Pharma,274.94,In Stock,2029-10-27,Drowsiness,Under Review
AYUR00568,Ashwagandha-Hour,"Tulsi, Arjuna, Licorice, Guduchi",Acidity,5 ml twice daily,Oil,AyurHealth Ltd.,107.75,Out of Stock,2028-04-13,None,Under Review
AYUR09421,Pippali-Party,"Guduchi, Brahmi",Acidity,Apply externally once a day,Capsule,Swasthya Remedies,146.22,Out of Stock,2028-07-10,Allergic Reaction,Under Review
AYUR15599,Guduchi-Of,"Shatavari, Tulsi",Acidity,5 ml twice daily,Syrup,NatureRoot Medics,118.56,Out of Stock,2027-10-26,Nausea,Under Review
AYUR19321,Guduchi-Size,"Guduchi, Shatavari, Amla",Acidity,5 ml twice daily,Capsule,Ayurveda Bliss,314.82,Out of Stock,2029-10-07,Drowsiness,Approved
AYUR03154,Arjuna-Writer,"Tulsi, Shatavari, Turmeric",Acidity,2 capsules once daily,Oil,AyurHealth Ltd.,417.78,In Stock,2027-05-23,Headache,Approved
AYUR03383,Triphala-Appear,"Triphala, Guggul, Arjuna, Tulsi",Acidity,2 capsules once daily,Tablet,VedicLife Pharma,357.67,Out of Stock,2026-08-16,None,Approved
AYUR17205,Triphala-Sit,"Arjuna, Triphala",Acidity,1 spoon after meal,Syrup,Divya Herbal,471.54,Out of Stock,2028-03-06,Nausea,Approved
AYUR18794,Ashwagandha-Above,"Triphala, Tulsi, Ashwagandha, Turmeric",Acidity,1 spoon after meal,Capsule,OrganicVeda,444.05,In Stock,2029-05-20,Headache,Under Review
AYUR19744,Licorice-Religious,"Shatavari, Amla, Giloy",Acidity,1 spoon after meal,Syrup,Divya Herbal,420.7,In Stock,2029-01-01,Drowsiness,Approved
AYUR16012,Licorice-Strategy,"Neem, Brahmi, Guduchi",Acidity,5 ml twice daily,Tablet,HerbalCure Labs,324.28,Out of Stock,2028-03-13,Allergic Reaction,Under Review
AYUR14477,Guduchi-Three,"Shatavari, Triphala, Arjuna, Giloy",Acidity,1 tablet twice daily,Capsule,Ayurveda Bliss,217.91,In Stock,2027-09-29,Allergic Reaction,Approved
AYUR07850,Giloy-Simply,"Guggul, Amla",Acidity,5 ml twice daily,Tablet,Divya Herbal,192.7,Out of Stock,2030-04-14,None,Approved
AYUR03981,Pippali-Security,"Licorice, Guggul",Acidity,2 capsules once daily,Syrup,OrganicVeda,311.4,In Stock,2027-04-19,Drowsiness,Approved
AYUR07511,Turmeric-Appear,"Guggul, Arjuna, Neem",Acidity,2 capsules once daily,Powder,HerbalCure Labs,300.34,In Stock,2030-06-28,Allergic Reaction,Under Review
AYUR05045,Turmeric-While,"Tulsi, Turmeric, Triphala, Guggul",Acidity,1 spoon after meal,Capsule,AyurHealth Ltd.,407.16,In Stock,2030-01-06,Allergic Reaction,Under Review
AYUR09335,Giloy-Travel,"Neem, Pippali, Brahmi, Guggul",Acidity,5 ml twice daily,Syrup,OrganicVeda,127.45,Out of Stock,2028-04-05,Headache,Under Review
AYUR17671,Tulsi-Understand,"Tulsi, Shatavari, Giloy",Acidity,2 capsules once daily,Capsule,Ayurveda Bliss,75.78,In Stock,2030-03-03,Nausea,Under Review
AYUR17752,Arjuna-Method,"Arjuna, Guggul, Ashwagandha",Acidity,2 capsules once daily,Capsule,Ayurveda Bliss,250.78,Out of Stock,2030-05-17,Drowsiness,Approved
AYUR07999,Ashwagandha-Prepare,"Pippali, Licorice",Acidity,Apply externally once a day,Tablet,Divya Herbal,161.36,Out of Stock,2028-04-19,Allergic Reaction,Approved
AYUR10870,Neem-Language,"Giloy, Turmeric",Acidity,Apply externally once a day,Oil,NatureRoot Medics,194.02,Out of Stock,2027-10-26,Nausea,Approved
AYUR03997,Neem-Third,"Neem, Amla, Turmeric, Guduchi",Acidity,5 ml twice daily,Powder,HerbalCure Labs,457.9,Out of Stock,2029-12-26,Allergic Reaction,Under Review
AYUR12148,Licorice-Pm,"Triphala, Giloy, Arjuna, Pippali",Acidity,1 spoon after meal,Capsule,Ayurveda Bliss,449.49,Out of Stock,2028-04-27,Nausea,Under Review
AYUR03648,Neem-Decide,"Triphala, Amla, Arjuna",Acidity,1 spoon after meal,Powder,HerbalCure Labs,342.2,Out of Stock,2026-10-03,Nausea,Approved
AYUR05524,Guggul-Dark,"Brahmi, Guduchi, Neem, Tulsi",Acidity,2 capsules once daily,Powder,NatureRoot Medics,304.47,In Stock,2027-01-20,None,Approved
AYUR18621,Ashwagandha-Particular,"Giloy, Tulsi, Ashwagandha",Acidity,5 ml twice daily,Syrup,Divya Herbal,479.76,Out of Stock,2026-11-07,Allergic Reaction,Approved
AYUR11512,Turmeric-Computer,"Pippali, Ashwagandha, Giloy, Licorice",Acidity,1 tablet twice daily,Capsule,Swasthya Remedies,467.32,In Stock,2028-12-17,None,Approved
AYUR06873,Amla-Wonder,"Ashwagandha, Arjuna",Acidity,1 tablet twice daily,Powder,NatureRoot Medics,147.51,Out of Stock,2029-07-29,Headache,Approved
AYUR01022,Triphala-Scene,"Neem, Guduchi, Guggul",Acidity,1 spoon after meal,Oil,NatureRoot Medics,176.13,Out of Stock,2027-03-15,Headache,Under Review
AYUR00893,Turmeric-Wrong,"Arjuna, Ashwagandha, Brahmi",Acidity,1 tablet twice daily,Capsule,AyurHealth Ltd.,431.24,In Stock,2028-11-15,Headache,Under Review
AYUR03120,Brahmi-Approach,"Guduchi, Guggul",Acidity,5 ml twice daily,Tablet,OrganicVeda,267.12,Out of Stock,2029-03-15,Headache,Approved
AYUR12602,Arjuna-Success,"Pippali, Giloy, Guggul, Amla",Acidity,1 tablet twice daily,Capsule,OrganicVeda,350.65,In Stock,2027-10-30,None,Approved
AYUR17439,Giloy-Position,"Turmeric, Brahmi, Neem",Acidity,1 spoon after meal,Syrup,VedicLife Pharma,427.28,Out of Stock,2027-04-09,Headache,Under Review
AYUR07491,Shatavari-Grow,"Ashwagandha, Shatavari",Acidity,Apply externally once a day,Syrup,NatureRoot Medics,438.3,In Stock,2027-06-12,Drowsiness,Under Review
AYUR13412,Arjuna-Front,"Guggul, Ashwagandha",Acidity,2 capsules once daily,Syrup,Swasthya Remedies,427.47,In Stock,2028-10-29,Allergic Reaction,Under Review
AYUR16664,Ashwagandha-View,"Shatavari, Turmeric, Tulsi",Acidity,1 tablet twice daily,Capsule,NatureRoot Medics,430.96,In Stock,2029-01-26,Headache,Under Review
AYUR04770,Triphala-House,"Arjuna, Turmeric, Triphala, Brahmi",Acidity,5 ml twice daily,Syrup,HerbalCure Labs,402.9,Out of Stock,2029-02-27,None,Under Review
AYUR02900,Turmeric-Military,"Guduchi, Tulsi",Acidity,1 tablet twice daily,Capsule,VedicLife Pharma,261.34,In Stock,2029-04-19,Allergic Reaction,Approved
AYUR08790,Neem-Mention,"Guduchi, Giloy",Acidity,2 capsules once daily,Powder,Ayurveda Bliss,305.42,Out of Stock,2027-09-19,None,Approved
AYUR10626,Brahmi-Tend,"Guduchi, Turmeric, Ashwagandha",Acidity,1 tablet twice daily,Oil,VedicLife Pharma,167.36,Out of Stock,2027-05-11,None,Under Review
AYUR02361,Ashwagandha-Alone,"Licorice, Pippali",Acidity,1 tablet twice daily,Syrup,Divya Herbal,383.23,Out of Stock,2027-03-17,Nausea,Approved
AYUR06521,Arjuna-Way,"Triphala, Amla, Turmeric",Acidity,1 spoon after meal,Syrup,OrganicVeda,321.12,In Stock,2026-09-27,Drowsiness,Approved
AYUR02270,Ashwagandha-Dream,"Amla, Giloy",Acidity,Apply externally once a day,Capsule,OrganicVeda,136.23,Out of Stock,2027-05-03,Headache,Under Review
AYUR14438,Triphala-A,"Amla, Guduchi, Shatavari, Triphala",Acidity,2 capsules once daily,Oil,OrganicVeda,125.53,In Stock,2026-03-26,Nausea,Approved
AYUR13856,Arjuna-Enough,"Brahmi, Turmeric, Arjuna, Giloy",Acidity,2 capsules once daily,Tablet,OrganicVeda,441.23,Out of Stock,2026-09-12,Allergic Reaction,Under Review
AYUR06229,Ashwagandha-Later,"Ashwagandha, Giloy, Brahmi, Neem",Acidity,1 tablet twice daily,Capsule,Swasthya Remedies,261.31,Out of Stock,2027-11-07,None,Approved
AYUR13427,Triphala-Voice,"Triphala, Guggul, Arjuna, Pippali",Acidity,1 tablet twice daily,Oil,VedicLife Pharma,479.18,Out of Stock,2026-08-24,Nausea,Under Review
AYUR12123,Guduchi-Prevent,"Giloy, Triphala",Acidity,1 spoon after meal,Oil,OrganicVeda,268.53,In Stock,2029-08-30,Allergic Reaction,Under Review
